episode,episode_durations_dqn_aux,episode_durations_dqn_rnd
1440,177,157
1441,167,91
1442,157,88
1443,149,166
1444,89,155
1445,134,161
1446,152,90
1447,149,158
1448,167,152
1449,167,161
1450,89,157
1451,126,91
1452,102,93
1453,104,150
1454,173,154
1455,92,156
1456,176,85
1457,154,155
1458,154,159
1459,156,87
1460,155,149
1461,99,92
1462,90,161
1463,89,157
1464,93,156
1465,192,156
1466,86,151
1467,148,155
1468,91,151
1469,103,156
1470,189,153
1471,158,158
1472,188,152
1473,121,151
1474,99,153
1475,162,155
1476,186,151
1477,200,152
1478,150,160
1479,95,182
1480,165,197
1481,200,101
1482,152,155
1483,172,91
1484,193,159
1485,155,153
1486,102,89
1487,98,156
1488,159,155
1489,173,150
1490,160,153
1491,97,184
1492,162,155
1493,88,168
1494,160,93
1495,89,154
1496,157,152
1497,168,151
1498,160,165
1499,189,200
1500,158,155
1501,163,100
1502,104,178
1503,159,104
1504,200,129
1505,85,155
1506,161,84
1507,160,157
1508,96,163
1509,87,181
1510,164,157
1511,161,97
1512,157,152
1513,161,90
1514,91,157
1515,170,149
1516,163,166
1517,191,154
1518,158,155
1519,200,90
1520,154,90
1521,193,161
1522,177,152
1523,135,116
1524,173,200
1525,173,169
1526,89,157
1527,91,96
1528,153,160
1529,87,152
1530,200,153
1531,91,152
1532,97,88
1533,168,92
1534,196,149
1535,200,155
1536,157,98
1537,198,90
1538,159,96
1539,173,200
1540,185,152
1541,155,89
1542,149,115
1543,151,101
1544,140,151
1545,104,90
1546,149,152
1547,147,155
1548,152,156
1549,177,89
1550,154,148
1551,161,150
1552,150,157
1553,90,112
1554,108,126
1555,158,164
1556,154,200
1557,178,199
1558,154,196
1559,164,150
1560,150,91
1561,153,152
1562,169,191
1563,134,99
1564,87,159
1565,155,148
1566,180,86
1567,158,109
1568,176,155
1569,179,155
1570,155,147
1571,163,150
1572,86,155
1573,158,87
1574,166,197
1575,163,156
1576,109,87
1577,161,155
1578,93,150
1579,200,96
1580,161,172
1581,163,147
1582,160,109
1583,88,159
1584,157,159
1585,163,154
1586,177,149
1587,89,89
1588,100,118
1589,200,164
1590,165,88
1591,200,152
1592,113,101
1593,111,143
1594,95,91
1595,85,171
1596,115,161
1597,169,170
1598,163,157
1599,170,149
1600,102,153
1601,95,107
1602,157,102
1603,159,167
1604,154,159
1605,156,174
1606,158,104
1607,151,152
1608,160,83
1609,200,159
1610,152,157
1611,161,93
1612,173,122
1613,94,158
1614,158,161
1615,159,164
1616,163,86
1617,87,91
1618,157,104
1619,155,96
1620,158,105
1621,151,174
1622,158,154
1623,152,155
1624,96,107
1625,159,200
1626,155,154
1627,152,157
1628,154,156
1629,170,104
1630,147,165
1631,94,164
1632,147,154
1633,173,94
1634,155,155
1635,155,98
1636,151,151
1637,154,90
1638,161,150
1639,162,155
1640,153,89
1641,155,98
1642,175,148
1643,157,150
1644,98,153
1645,152,151
1646,153,148
1647,149,148
1648,153,150
1649,160,152
1650,172,111
1651,155,86
1652,154,154
1653,154,151
1654,153,151
1655,156,151
1656,156,104
1657,153,183
1658,93,148
1659,99,90
1660,90,150
1661,93,150
1662,156,104
1663,158,106
1664,165,166
1665,155,149
1666,188,184
1667,158,150
1668,158,151
1669,96,148
1670,200,151
1671,173,150
1672,200,151
1673,164,111
1674,103,175
1675,168,171
1676,89,160
1677,200,172
1678,200,157
1679,184,153
1680,91,152
1681,90,165
1682,170,150
1683,200,154
1684,176,93
1685,200,87
1686,200,153
1687,167,159
1688,166,158
1689,92,189
1690,162,85
1691,162,95
1692,155,108
1693,86,156
1694,200,155
1695,161,152
1696,158,87
1697,166,151
1698,158,200
1699,97,154
1700,156,151
1701,164,165
1702,159,90
1703,160,200
1704,86,91
1705,119,99
1706,162,89
1707,153,162
1708,156,158
1709,120,156
1710,152,175
1711,90,158
1712,157,200
1713,166,180
1714,167,101
1715,151,156
1716,158,155
1717,153,100
1718,157,99
1719,88,200
1720,160,160
1721,156,153
1722,155,200
1723,154,97
1724,175,156
1725,148,158
1726,88,160
1727,154,103
1728,93,158
1729,86,161
1730,149,153
1731,146,148
1732,94,188
1733,85,149
1734,146,150
1735,146,152
1736,158,156
1737,149,147
1738,149,162
1739,154,150
1740,150,200
1741,88,162
1742,91,99
1743,152,156
1744,146,154
1745,186,158
1746,154,165
1747,161,170
1748,153,161
1749,158,136
1750,151,97
1751,157,152
1752,152,163
1753,158,104
1754,159,158
1755,157,154
1756,162,131
1757,106,90
1758,157,157
1759,178,155
1760,113,154
1761,104,148
1762,200,157
1763,163,160
1764,166,156
1765,89,160
1766,169,99
1767,193,155
1768,159,153
1769,92,124
1770,200,149
1771,200,177
1772,161,167
1773,200,167
1774,162,151
1775,169,151
1776,177,153
1777,168,200
1778,190,161
1779,94,200
1780,163,153
1781,168,92
1782,166,200
1783,95,116
1784,157,155
1785,90,200
1786,160,150
1787,93,97
1788,159,167
1789,155,200
1790,164,161
1791,166,109
1792,162,87
1793,137,155
1794,152,155
1795,87,200
1796,90,159
1797,159,154
1798,86,200
1799,154,151
1800,104,91
1801,173,97
1802,93,160
1803,200,153
1804,87,167
1805,165,160
1806,134,98
1807,101,161
1808,149,164
1809,200,152
1810,92,153
1811,200,88
1812,200,85
1813,174,155
1814,200,149
1815,158,148
1816,157,154
1817,158,149
1818,157,150
1819,157,147
1820,154,150
1821,83,152
1822,164,150
1823,156,150
1824,157,155
1825,154,159
1826,95,147
1827,156,150
1828,153,152
1829,165,152
1830,88,157
1831,159,200
1832,86,156
1833,154,154
1834,156,155
1835,154,152
1836,154,147
1837,180,166
1838,110,149
1839,186,157
1840,94,146
1841,96,165
1842,154,161
1843,198,148
1844,151,153
1845,157,156
1846,178,150
1847,152,200
1848,155,145
1849,164,149
1850,154,150
1851,164,159
1852,160,151
1853,190,167
1854,155,183
1855,157,158
1856,200,152
1857,193,152
1858,179,200
1859,95,154
1860,175,155
1861,160,151
1862,164,161
1863,105,97
1864,190,100
1865,156,153
1866,160,166
1867,160,148
1868,167,162
1869,163,107
1870,160,150
1871,200,153
1872,163,89
1873,165,155
1874,200,90
1875,111,153
1876,144,168
1877,162,179
1878,200,152
1879,161,157
1880,160,115
1881,162,178
1882,91,152
1883,159,88
1884,153,152
1885,113,95
1886,89,162
1887,161,88
1888,101,155
1889,160,152
1890,91,89
1891,165,157
1892,90,97
1893,167,150
1894,179,152
1895,196,160
1896,159,152
1897,163,150
1898,87,156
1899,158,149
1900,163,147
1901,93,150
1902,99,87
1903,167,95
1904,88,94
1905,99,95
1906,158,152
1907,155,89
1908,166,147
1909,155,173
1910,94,157
1911,159,152
1912,155,150
1913,158,157
1914,91,151
1915,84,149
1916,163,152
1917,168,148
1918,153,86
1919,157,152
1920,89,158
1921,159,153
1922,183,152
1923,88,154
1924,158,151
1925,86,153
1926,172,153
1927,152,168
1928,151,99
1929,166,153
1930,104,149
1931,96,157
1932,154,90
1933,170,152
1934,168,180
1935,87,152
1936,171,138
1937,152,148
1938,165,102
1939,166,88
1940,150,155
1941,165,170
1942,93,166
1943,161,156
1944,155,162
1945,166,154
1946,97,156
1947,179,86
1948,154,88
1949,165,153
1950,104,152
1951,162,155
1952,166,154
1953,169,158
1954,166,103
1955,120,155
1956,96,151
1957,103,150
1958,156,91
1959,163,152
1960,157,152
1961,178,150
1962,163,148
1963,183,155
1964,159,148
1965,157,150
1966,113,93
1967,172,86
1968,97,165
1969,169,94
1970,165,151
1971,166,153
1972,170,150
1973,192,153
1974,164,152
1975,87,164
1976,200,149
1977,108,148
1978,108,87
1979,200,151
1980,157,167
1981,93,197
1982,164,149
1983,186,146
1984,165,86
1985,169,85
1986,197,200
1987,166,91
1988,88,158
1989,155,152
1990,168,149
1991,163,183
1992,163,155
1993,156,151
1994,158,152
1995,115,152
1996,96,152
1997,161,95
1998,165,155
1999,100,99
2000,162,152
2001,153,89
2002,159,166
2003,158,155
2004,97,152
2005,113,151
2006,90,151
2007,153,153
2008,160,96
2009,150,151
2010,163,105
2011,190,95
2012,157,160
2013,159,153
2014,171,155
2015,158,163
2016,200,152
2017,85,92
2018,156,145
2019,166,152
2020,192,160
2021,107,166
2022,191,86
2023,159,157
2024,88,150
2025,200,155
2026,162,179
2027,193,155
2028,157,156
2029,154,149
2030,104,154
2031,152,153
2032,162,155
2033,167,152
2034,98,158
2035,93,151
2036,151,87
2037,90,158
2038,149,165
2039,162,108
2040,164,154
2041,100,154
2042,106,108
2043,159,169
2044,186,155
2045,178,159
2046,159,152
2047,166,152
2048,200,153
2049,173,155
2050,86,149
2051,159,161
2052,159,157
2053,161,161
2054,168,150
2055,200,159
2056,178,152
2057,163,97
2058,166,124
2059,200,159
2060,105,147
2061,162,161
2062,166,88
2063,164,155
2064,168,157
2065,92,159
2066,200,158
2067,160,152
2068,180,91
2069,161,108
2070,89,181
2071,200,146
2072,163,149
2073,122,156
2074,93,149
2075,156,159
2076,180,110
2077,161,153
2078,176,158
2079,84,151
2080,200,163
2081,89,96
2082,163,167
2083,165,155
2084,160,85
2085,166,164
2086,94,190
2087,87,152
2088,97,156
2089,162,150
2090,85,98
2091,111,168
2092,161,161
2093,180,157
2094,99,155
2095,168,157
2096,94,150
2097,114,152
2098,168,151
2099,155,152
2100,151,172
2101,162,153
2102,200,130
2103,154,158
2104,86,95
2105,156,149
2106,165,152
2107,103,153
2108,188,153
2109,158,154
2110,157,164
2111,94,156
2112,200,161
2113,159,154
2114,91,155
2115,156,160
2116,153,157
2117,161,94
2118,151,152
2119,91,115
2120,200,163
